,open,high,low,close,volume,value
2021-10-25 11:00:00,244950.0,245900.0,242100.0,244250.0,17930.55523031,4374909481.415603
2021-10-25 12:00:00,244200.0,247300.0,243200.0,246100.0,19600.75738636,4805655044.812883
2021-10-25 13:00:00,246100.0,248500.0,245150.0,247600.0,32092.2570833,7929350954.406236
2021-10-25 14:00:00,247500.0,252900.0,246150.0,252650.0,68013.91312232,17001192324.019682
2021-10-25 15:00:00,252700.0,256400.0,251250.0,253900.0,82968.15273426,21043280264.10561
2021-10-25 16:00:00,253900.0,254000.0,251150.0,252200.0,43035.25391366,10867316768.35654
2021-10-25 17:00:00,252200.0,258500.0,251300.0,257650.0,72181.21517511,18467634989.476326
2021-10-25 18:00:00,257900.0,257950.0,253500.0,253550.0,38025.65931045,9692876191.675684
2021-10-25 19:00:00,253550.0,254850.0,250750.0,252000.0,51724.21004523,13054068705.597631
2021-10-25 20:00:00,252000.0,254600.0,251900.0,252900.0,30030.87502086,7609688246.631024
2021-10-25 21:00:00,252900.0,254750.0,251650.0,252200.0,32518.84878311,8227412082.076596
2021-10-25 22:00:00,252200.0,254000.0,249850.0,252950.0,43514.72967609,10965305758.22514
2021-10-25 23:00:00,252950.0,259750.0,252150.0,259200.0,81837.18007698,21047395290.656998
2021-10-26 00:00:00,259200.0,265600.0,259000.0,264600.0,180162.90420353,47349380574.08064
2021-10-26 01:00:00,264650.0,264900.0,259900.0,261950.0,39891.02646569,10443852379.188343
2021-10-26 02:00:00,261900.0,262550.0,256700.0,259100.0,26201.02008629,6779903082.85008
2021-10-26 03:00:00,259250.0,259700.0,256400.0,257100.0,8840.36217937,2277328718.445394
2021-10-26 04:00:00,257100.0,258600.0,255550.0,255750.0,8303.52984822,2132139049.8592565
2021-10-26 05:00:00,255850.0,259000.0,254900.0,257450.0,13045.15697742,3342340822.461484
2021-10-26 06:00:00,257450.0,260950.0,255800.0,256000.0,17879.17156979,4605933323.932712
2021-10-26 07:00:00,256000.0,257450.0,253500.0,257050.0,23745.39895332,6068018267.104681
2021-10-26 08:00:00,257050.0,257500.0,253900.0,253900.0,25198.44168332,6438858483.19244
2021-10-26 09:00:00,254050.0,259500.0,252650.0,255650.0,104155.49191941,26711228238.869293
2021-10-26 10:00:00,255650.0,255800.0,251100.0,252050.0,63962.92606309,16215381288.76822
2021-10-26 11:00:00,252050.0,254400.0,251400.0,253650.0,35789.56992749,9046601970.756319
2021-10-26 12:00:00,253600.0,253650.0,251200.0,251800.0,30053.59164969,7567874268.42434
2021-10-26 13:00:00,251800.0,252300.0,249050.0,249950.0,47979.70106107,12015768725.209076
2021-10-26 14:00:00,249950.0,251300.0,249400.0,249500.0,18562.76702126,4647291174.921716
2021-10-26 15:00:00,249500.0,251000.0,248250.0,249600.0,30106.39025866,7509572125.054421
2021-10-26 16:00:00,249600.0,252350.0,249550.0,252300.0,14659.33348033,3682091272.047179
2021-10-26 17:00:00,252350.0,254500.0,251000.0,251500.0,34242.77341085,8651676010.242283
2021-10-26 18:00:00,251300.0,252000.0,249950.0,251350.0,15370.56283948,3854082780.3781805
2021-10-26 19:00:00,251300.0,253350.0,250400.0,251950.0,18328.3967185,4619397059.235066
2021-10-26 20:00:00,251950.0,252750.0,250100.0,250300.0,17727.0264254,4452949691.27468
2021-10-26 21:00:00,250300.0,251350.0,249600.0,250950.0,27185.30168695,6803643962.084138
2021-10-26 22:00:00,250900.0,251050.0,249800.0,250150.0,20336.98058353,5091552284.032783
2021-10-26 23:00:00,250050.0,250150.0,246400.0,247500.0,67103.22288979,16631584581.550875
2021-10-27 00:00:00,247500.0,250300.0,247450.0,249600.0,23115.72715004,5748412748.422112
2021-10-27 01:00:00,249500.0,250100.0,247100.0,247900.0,13532.57432635,3357510906.3672976
2021-10-27 02:00:00,247350.0,250900.0,247250.0,250900.0,8504.91977127,2121192858.1301334
2021-10-27 03:00:00,250900.0,252450.0,248550.0,248550.0,10108.15010345,2533479621.958672
2021-10-27 04:00:00,248650.0,250950.0,248650.0,249400.0,5546.26936683,1383986000.512674
2021-10-27 05:00:00,249700.0,249900.0,247500.0,247500.0,12860.18779843,3197172859.516244
2021-10-27 06:00:00,247500.0,248350.0,244300.0,244950.0,43420.32294319,10698017253.96655
2021-10-27 07:00:00,244900.0,246600.0,240050.0,241750.0,81919.20622153,19910432059.04046
2021-10-27 08:00:00,241750.0,243850.0,241700.0,242750.0,42119.31729339,10228066871.657553
2021-10-27 09:00:00,242650.0,247950.0,240350.0,247800.0,86398.44951918,21097942423.606213
2021-10-27 10:00:00,247800.0,248300.0,243900.0,244700.0,41452.35314489,10208904233.86841
2021-10-27 11:00:00,244650.0,245000.0,242800.0,244000.0,24635.40303622,6001209396.759238
2021-10-27 12:00:00,244200.0,247300.0,244000.0,245600.0,18830.78317145,4630171552.30697
2021-10-27 13:00:00,245600.0,248300.0,244350.0,246400.0,35332.19235442,8716838130.831938
2021-10-27 14:00:00,246500.0,247500.0,244200.0,244500.0,25427.64151449,6246582022.251029
2021-10-27 15:00:00,244500.0,246050.0,240000.0,240000.0,87616.94423037,21238987929.293175
2021-10-27 16:00:00,240000.0,240200.0,234350.0,234400.0,118482.21337984,28042505895.68842
2021-10-27 17:00:00,234400.0,241050.0,219750.0,236400.0,289492.15398447,66887213339.91899
2021-10-27 18:00:00,236750.0,237300.0,224900.0,234500.0,135785.43463178,31468465546.232048
2021-10-27 19:00:00,234500.0,239600.0,231200.0,236100.0,58161.91803656,13679666692.2306
2021-10-27 20:00:00,236250.0,240800.0,233800.0,234050.0,56889.58457757,13491163345.619282
2021-10-27 21:00:00,234500.0,236500.0,232500.0,236250.0,36463.88419843,8571887079.889853
2021-10-27 22:00:00,236200.0,238500.0,233400.0,233600.0,33766.86864767,7958369332.042556
2021-10-27 23:00:00,233650.0,234950.0,230750.0,233750.0,40714.6081994,9469051855.549583
2021-10-28 00:00:00,233700.0,235800.0,231850.0,232100.0,19029.89840718,4442536650.726443
