,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,original_price0,original_price9
38,7481965.303112187,7631068.059699016,7437388.315621443,7434231.6560712345,6763198.576521322,5795009.859809661,6641585.111784582,6639795.179354877,8390012.242001835,7480558.814612855,7287167.928777939,6958086.475658373,6276021.905864038,6947197.320360699,6792339.023290087,6352447.366585911,5927506.291208618,5715961.725768986,6844296.210630274,6521726.640107214,6467325.220334236,6802272.82036064,6676161.673279888,6671052.589992345,8109000.0,8219000.0
39,7614830.391735711,7689348.734660955,7466391.048511997,7518680.604894322,6937727.345812958,5816974.073729957,6614870.265849466,6515506.21277117,8407406.16982062,7401313.493421626,7252947.75168802,6791881.716434715,6204866.513496987,6792718.796357757,6594672.4013035605,6196827.658079026,5745118.824616087,5561876.540735033,6644250.137374542,6371173.521253989,6221832.326232922,6643867.251107681,6529088.884495312,6667718.730627032,8253000.0,8136000.0
40,7551079.138726311,7594890.561988912,7452693.148401329,7487693.288995528,6900872.54818656,5872947.393075227,6611564.483607662,6512250.0877273055,8543488.075696992,7397614.686078588,7249323.090142949,6788487.472698366,6201765.630681645,6789324.134290612,6591376.712947086,6193730.792682685,5742247.700765704,5559096.992238915,6640929.672538273,6367989.526490743,6218722.964750547,6640546.977618871,6525825.971509557,6920442.872390929,8188000.0,8345000.0
41,7547305.485983319,7591095.01448167,7448968.664069295,7483951.313338858,6897423.836268426,6079836.11774382,6741810.318479934,6521566.61145796,8620225.99254457,7494240.210438391,7310388.386931156,6833933.413938188,6250037.067155638,6795819.541259558,6524409.080551496,6188420.087522145,5715541.956579294,5564410.981477522,6688591.847221562,6391577.491041014,6210432.074719538,6594821.3276483985,6395549.528816074,6770104.708769019,8580000.0,8454000.0
42,7313181.560477044,7363490.563114245,7172304.213907117,7232980.588695045,6592836.757554332,5740416.034803192,6552693.763336356,6374747.902175069,8333661.54331621,7141397.481439007,7137579.703550207,6662612.765414705,6081386.693721547,6671505.165169711,6521148.506298346,6188420.087522145,5715541.956579294,5502540.204772408,6576473.333420538,6265177.198036937,6210432.074719538,6594821.3276483985,6395549.528816074,6770104.708769019,8318000.0,8060000.0
43,7313181.560477044,7363490.563114245,7172304.213907117,7232980.588695045,6592836.757554332,5737547.261172607,6552693.763336356,6374747.902175069,8329496.7949187495,7137828.567155429,7134012.697201607,6659283.123852778,6078347.519961567,6668171.079629896,6506155.264460812,6185327.42381024,5712685.613772408,5499790.309617599,6573186.740050513,6262046.1749494625,6207328.410514281,6591525.564865966,6392353.352140004,6766721.348094971,8104000.0,8244000.0
44,7309526.797078505,7359810.657785352,7168719.853980127,7229365.905742173,6589541.986561051,5757324.600002205,6549419.053809451,6371562.121114512,8465662.778878627,7219215.743927944,7192352.603305904,6663292.807814635,6084210.406404741,6632123.20063172,6506155.264460812,6143720.778125756,5658008.513311667,5458925.8485286785,6454321.48206081,6184565.187854988,6117598.594338411,6401770.468062301,6221901.752022469,6534400.20572515,8418000.0,8338000.0
45,7075014.114820513,7088539.690847844,6903590.52671683,6794676.635361589,6479785.027955894,5708557.214116062,6502771.117952331,6282915.635234394,8215641.200965075,7052913.169687724,7149592.499738489,6536524.644518533,5959574.234952508,6632123.20063172,6506155.264460812,6143720.778125756,5658008.513311667,5458925.8485286785,6454321.48206081,6184565.187854988,6117598.594338411,6401770.468062301,6221901.752022469,6534400.20572515,8152000.0,8150000.0
46,7075014.114820513,7088539.690847844,6903590.52671683,6794676.635361589,6479785.027955894,5708557.214116062,6502771.117952331,6282915.635234394,8215641.200965075,7052913.169687724,7149592.499738489,6536524.644518533,5959574.234952508,6632123.20063172,6506155.264460812,6143720.778125756,5658008.513311667,5458925.8485286785,6454321.48206081,6184565.187854988,6117598.594338411,6401770.468062301,6221901.752022469,6534400.20572515,7645000.0,7541000.0
47,7075014.114820513,7088539.690847844,6903590.52671683,6794676.635361589,6479785.027955894,5708557.214116062,6502771.117952331,6282915.635234394,8215641.200965075,7052913.169687724,7149592.499738489,6536524.644518533,5959574.234952508,6632123.20063172,6506155.264460812,6143720.778125756,5658008.513311667,5458925.8485286785,6454321.48206081,6184565.187854988,6114541.323676573,6398571.182471066,6218792.355844547,6534400.20572515,7302000.0,7231000.0
48,7071478.375632697,7084997.192251719,6903590.52671683,6794676.635361589,6476546.754578604,5708557.214116062,6502771.117952331,6282915.635234394,8215641.200965075,7052913.169687724,7146019.489993492,6536524.644518533,5956595.936984016,6628808.796233604,6502903.812554535,6140650.452899307,5655180.922850243,5456197.749653852,6454321.48206081,6184565.187854988,5913573.3000026,6331619.501265603,6589364.229103778,6531134.638405947,7315000.0,7132000.0
49,7226151.860267178,7235458.154130182,6900140.456488586,6791280.9948641565,6396118.536318569,5705704.361935094,6499521.357273694,6279775.747360714,8211535.433248451,7049388.475449999,7502485.763851901,6533258.015510777,6359011.989025159,6993571.547536487,6788079.80543071,6294582.747450306,5802833.779737431,5702839.544290906,6451095.934093763,6181474.450629673,5910617.991007097,6331619.501265603,6381718.326397446,6352687.351022235,7475000.0,7471000.0
